,,,,,SECURED,SECURED,SALES,JV,EARNINGS,CONT,BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161345,SPO - HISD - Dowling Middle School,300407,Houston SPO,Project,2016,2016.NOV,,N,P,LS,006,,39 ,1," $15,196 "," $5,498 "," $6,412 "," $12,284 "," $6,354 "," $8,485 "," $6,494 "," $6,653 "," $9,072 "," $18,705 "," $9,679 "," $32,285 "," $11,239 "," $40,258 "," $9,432 "," $24,365 "," $48,805 "," $12,600 "," $25,638 "," $12,759 "," $8,432 "," $1,194 "," $3,800 "," $5,396 "," $3,753 "," $5,030 "," $4,551 "," $5,112 "," $7,391 "," $4,922 "," $6,094 ", $311 , $107 ," $6,270 "," $1,285 "," $3,217 ", $455 , $854 , $28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161346,BCH Enders Exhaust AHU,300201,Boston SPD,Project,2016,2016.NOV,,N,P,LS,007,,27 ,1," $8,203 "," $8,121 "," $51,131 "," $116,164 "," $341,121 "," $134,176 "," $61,581 "," $13,882 "," $23,099 "," $13,538 "," $9,270 "," $1,196 "," $35,170 "," $1,129 "," $5,327 "," $24,912 "," $9,673 "," $13,118 "," $2,274 ", $471 , $992 , $753 , $658 , $659 , $659 , $722 , $(340), $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161347,Hiranandani Fortune City,523100,Turner Project Mgmt India Private Ltd,Project,2016,2016.NOV,,N,P,M,015,,49 ,3," $58,930 "," $11,034 "," $14,320 "," $20,138 "," $19,127 "," $19,018 "," $18,830 "," $24,538 "," $21,248 "," $22,630 "," $22,977 "," $105,496 "," $155,903 "," $29,761 "," $(40,346)"," $61,892 "," $38,921 "," $25,181 "," $39,123 "," $41,125 "," $39,681 "," $54,562 "," $44,183 "," $41,523 "," $43,891 "," $43,844 "," $43,060 "," $59,114 "," $43,451 "," $46,119 "," $37,234 "," $56,989 "," $51,624 "," $50,904 "," $69,700 "," $54,728 "," $59,197 "," $54,137 "," $52,296 "," $67,949 "," $39,368 "," $52,405 "," $50,193 "," $49,779 "," $46,206 "," $45,956 "," $43,226 "," $40,442 "," $41,778 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161349,Mt. Sinai Downtown - Demo,300220,NY Main,Project,2016,2016.NOV,,N,P,CP,008,,26 ,6," $15,087 "," $119,075 "," $78,143 "," $1,048,529 "," $1,540,372 "," $474,891 "," $669,641 "," $190,397 "," $231,168 "," $838,923 "," $310,096 "," $145,976 "," $117,201 "," $100,963 "," $162,134 "," $306,357 "," $395,482 "," $610,717 "," $521,046 "," $717,377 "," $310,750 "," $65,984 "," $36,943 "," $9,216 "," $1,975 "," $1,375 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161350,Zurich Jersey City Fit-out,300224,New Jersey SPD,Project,2016,2016.NOV,,N,P,LS,001,,15 ,4," $8,661 "," $792,392 "," $1,725,223 "," $1,766,437 "," $99,438 "," $650,041 "," $23,110 "," $306,041 "," $4,634 "," $2,962 "," $34,428 ", $110 , $(0), $(0)," $2,400 "," $1,897 ", $(22), $0 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161351,FRC Project Bluebird,300353,Carolinas SPD,Project,2016,2016.NOV,,N,P,CG,003,,34 ,8," $53,119 "," $85,064 "," $86,417 "," $280,374 "," $191,730 "," $2,556,991 "," $1,555,395 "," $750,908 "," $2,731,680 "," $617,257 "," $1,631,323 "," $3,082,817 "," $1,535,790 "," $2,182,236 "," $2,173,815 "," $3,037,955 "," $2,340,443 "," $1,706,657 "," $1,974,787 "," $1,125,976 "," $149,539 "," $42,245 "," $29,088 "," $4,913 "," $691,248 "," $(191,108)"," $21,279 "," $5,626 "," $1,285 "," $(21,204)"," $(120,352)", $163 ," $211,733 "," $1,984 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161352,Corus Fitness,300375,Cleveland SPD,Project,2016,2016.NOV,,N,P,CG,002,,10 ,1," $7,300 "," $88,943 "," $47,175 "," $2,342 ", $814 ," $4,829 ", $(4), $3 , $0 , $(0), $100 , $(38), $0 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161356,YNHH SRC - McGivney Early Demo,300203,Connecticut Main,Project,2016,2016.NOV,,N,P,CG,008,,26 ,2," $9,020 "," $20,929 "," $2,271 "," $1,717 "," $30,461 "," $7,579 "," $611,606 "," $248,451 "," $190,168 "," $37,645 "," $89,331 ", $953 ," $3,188 "," $3,675 "," $93,812 "," $5,130 ", $737 ," $12,571 "," $5,135 "," $3,977 "," $1,682 ", $324 , $(773), $47 , $40 , $40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161358,SPO - UPMC Passavant HVI Phase 2,300333,Pittsburgh SPD,Project,2016,2016.NOV,,N,P,LS,008,,1 ,1, $178 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161363,SPO - Nova Place Microbac Fitout,300333,Pittsburgh SPD,Project,2016,2016.DEC,,N,P,LS,001,,11 ,1," $8,430 "," $27,538 "," $27,533 "," $81,753 "," $131,970 "," $19,208 "," $1,356 "," $13,125 "," $(3,825)", $111 , $(44),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161364,SPO - Carnegie Science Center,300333,Pittsburgh SPD,Project,2016,2016.DEC,,N,P,LS,013,,21 ,1," $42,732 "," $33,488 "," $102,005 "," $73,958 "," $24,751 "," $42,505 "," $9,581 "," $12,245 ", $613 ," $(3,025)", $365 , $348 , $157 , $123 , $22 , $53 , $107 , $8 ," $3,171 ", $73 , $8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161366,Kaiser IDIQ,300393,Denver SPD,Project,2016,2016.DEC,,N,P,CG,008,,44 ,6," $8,280 "," $30,161 "," $60,778 "," $200,855 "," $1,075,124 "," $149,269 "," $474,831 "," $1,484,911 "," $1,317,626 "," $862,969 "," $792,963 "," $85,216 "," $695,149 "," $526,965 "," $107,279 "," $137,382 "," $221,147 "," $180,512 "," $27,464 "," $13,878 "," $29,068 "," $128,589 "," $120,476 "," $181,362 "," $87,753 "," $25,987 "," $7,384 "," $5,271 "," $8,913 "," $(17,067)", $869 , $40 , $39 , $40 , $40 , $978 , $40 ," $(74,465)", $567 , $7 , $(0), $(0)," $33,352 ", $480 , $(284), $2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161368,Aetna - 15 Columbia Circle,300222,NY North,Project,2016,2016.DEC,,N,P,LS,001,,10 ,1, $765 ," $10,267 "," $42,852 "," $10,848 "," $6,740 "," $14,897 ", $362 , $6 , $(6), $45 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161369,Grays Hall Basement Renovation and Ramp,300201,Boston SPD,Project,2016,2016.DEC,,N,P,CG,005,,29 ,3," $15,128 "," $91,220 "," $35,296 "," $53,275 "," $23,979 "," $6,084 "," $251,676 "," $99,312 "," $434,862 "," $674,309 "," $447,251 "," $681,777 "," $121,616 "," $12,559 "," $107,895 "," $188,402 "," $130,595 "," $13,902 "," $1,627 "," $23,471 "," $28,134 "," $48,502 "," $1,174 "," $1,552 "," $5,178 "," $2,473 ", $14 , $(2), $0 , $264 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161370,UMMC Pyxis Medical Cabinets,300343,Maryland,Project,2016,2016.DEC,,N,P,CG,008,,15 ,2," $27,951 "," $62,503 "," $497,837 "," $651,583 "," $229,349 "," $234,000 "," $25,568 "," $8,585 "," $104,900 "," $5,180 "," $5,756 "," $9,691 ", $727 , $3 , $5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161372,Modus TI,302103,Vancouver Main,Project,2016,2016.DEC,,N,P,LS,001,,7 ,1, $151 ," $19,248 "," $9,140 "," $13,390 "," $29,069 ", $4 , $23 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161373,Willis Tower - Retail Renovations - TCCo,300385,Chicago Main,Project,2016,2016.DEC,,Y,P,CGS,001,,49 ,10," $62,874 "," $(62,315)", $(559)," $64,628 ", $23 ," $1,689,548 "," $137,890 "," $41,534 "," $(1,653,466)"," $1,393,081 "," $873,056 "," $53,493 "," $2,415,029 "," $1,040,414 "," $577,056 "," $3,966,449 "," $3,421,011 "," $3,220,598 "," $3,561,022 "," $4,119,675 "," $5,088,202 "," $5,115,874 "," $5,438,388 "," $4,997,440 "," $5,449,655 "," $4,940,501 "," $4,351,666 "," $4,480,300 "," $5,959,652 "," $7,640,921 "," $5,425,092 "," $4,944,183 "," $2,303,527 "," $2,805,699 "," $4,019,443 "," $3,099,246 "," $2,198,328 "," $2,589,252 "," $969,706 "," $1,918,730 "," $4,070,916 "," $1,847,439 "," $2,471,382 "," $2,987,941 "," $920,592 "," $1,082,127 "," $1,029,046 "," $991,262 "," $1,023,266 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161375,SPO - Virtua Marlton Bariatric,300331,Philadelphia SPD,Project,2016,2016.DEC,,N,P,LS,008,,10 ,1," $2,509 "," $2,361 ", $492 , $955 ," $1,049 ", $63 , $797 ," $2,276 ", $44 , $38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161376,GM World lighting,323115,MEP Michigan,Project,2016,2016.DEC,,N,M,LS,001,,22 ,2," $1,700 "," $8,069 "," $1,700 "," $4,845 "," $1,137 "," $326,332 ", $553 , $425 , $425 ," $199,751 "," $6,325 "," $24,447 "," $179,230 "," $6,096 "," $163,508 "," $5,401 "," $4,090 "," $97,816 "," $1,691 "," $(21,214)"," $(23,168)"," $24,088 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161377,Nationwide Campus Area Master Plan -CAMP,323112,MEP Ohio,Project,2016,2016.DEC,,N,M,CP,001,,8 ,1, $426 ," $97,934 ", $320 ," $1,600 "," $1,760 "," $1,120 "," $3,200 "," $1,280 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161378,"TSP - 520 Madison, Verizon Head End Room",300221,NY Interiors,Project,2016,2016.DEC,,N,P,LS,001,,8 ,1," $4,635 "," $96,028 "," $52,631 "," $39,155 "," $5,633 "," $3,854 "," $(3,860)"," $4,266 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161380,"SPO - Belmont, DFH",300451,Bay Area SPD,Project,2016,2016.DEC,,N,P,CG,006,,22 ,1, $709 ," $3,340 "," $8,508 "," $5,622 "," $81,970 "," $131,486 "," $22,644 "," $31,080 "," $16,352 "," $7,491 "," $1,250 "," $1,472 "," $14,633 ", $793 ," $(3,675)", $59 , $42 , $79 , $308 , $395 , $632 , $257 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161385,TRowe Price Pratt UPS,300343,Maryland,Project,2016,2016.DEC,,N,P,CG,001,,15 ,1," $12,854 "," $206,669 "," $257,179 "," $153,467 "," $86,759 "," $38,466 "," $24,119 "," $52,199 "," $2,149 "," $1,012 ", $239 , $56 , $45 , $(62), $(62),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161387,Tire Discounters - Newtown,300371,Cincinnati SPD,Project,2016,2016.DEC,,N,P,CG,002,,10 ,2," $38,637 "," $212,350 "," $386,944 "," $393,026 "," $70,777 "," $8,130 "," $34,510 "," $(2,003)", $37 , $40 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161388,Google 4CC Cafe Renovation,300201,Boston SPD,Project,2016,2016.DEC,,N,P,CG,001,,20 ,2," $24,953 "," $265,261 "," $554,423 "," $171,231 "," $83,881 "," $82,271 "," $25,767 "," $8,024 "," $1,883 ", $7 , $(313)," $(4,549)", $5 , $148 , $(434), $(1)," $1,988 ", $707 , $366 , $3 , $5 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161389,Nokia Murray Hill & Holmdel Projects,300224,New Jersey SPD,Project,2016,2016.DEC,,N,P,CP,001,,32 ,3," $31,268 "," $135,027 "," $406,118 "," $97,121 "," $174,912 "," $191,258 "," $108,578 "," $28,951 "," $155,489 "," $596,373 "," $78,059 "," $168,639 "," $340,996 "," $17,685 "," $7,586 "," $10,875 "," $1,778 ", $918 ," $65,454 "," $95,180 "," $185,849 "," $31,107 "," $17,132 "," $62,441 "," $5,731 "," $2,859 ", $627 , $258 ," $7,055 ", $474 , $112 , $11 , $(0), $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161390,Tri-C Owners Rep,300375,Cleveland SPD,Project,2016,2016.DEC,,N,P,M,005,,16 ,1," $2,017 "," $8,697 "," $8,018 "," $12,984 "," $11,987 "," $9,198 "," $14,113 "," $10,101 "," $12,235 "," $11,990 "," $5,842 "," $1,534 ", $174 , $35 , $59 , $366 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161391,SPO - Great Wolf Lodge,300359,Atlanta SPO,Project,2016,2016.DEC,,N,P,LS,015,,31 ,7," $431,473 "," $841,512 "," $1,472,521 "," $1,821,789 "," $1,131,010 "," $892,524 "," $998,579 "," $854,853 "," $309,959 "," $446,246 "," $198,424 "," $174,611 "," $247,433 "," $110,550 "," $120,512 "," $50,786 "," $81,172 "," $20,904 "," $38,889 "," $19,965 "," $26,554 "," $21,852 "," $6,287 "," $5,030 "," $7,409 "," $10,706 "," $6,430 "," $10,630 "," $5,413 "," $1,591 "," $1,764 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161392,Natixis Fitout,300201,Boston SPD,Project,2016,2016.DEC,,N,P,CG,001,,43 ,8," $234,216 "," $1,118,660 "," $2,222,828 "," $3,048,530 "," $3,562,507 "," $5,264,736 "," $3,640,898 "," $3,166,187 "," $2,381,300 "," $452,195 "," $688,930 "," $191,592 "," $102,946 "," $15,201 "," $42,262 "," $183,902 "," $4,987 "," $22,517 "," $24,523 "," $1,463 "," $2,082 ", $860 ," $1,008 "," $1,118 ", $0 ," $(3,803)"," $2,945 "," $(3,380)", $178 , $644 , $62 , $1 , $22 ," $9,149 ", $0 , $631 ," $1,578 "," $1,892 "," $6,538 ", $684 , $(7), $(2), $0 ," $19,987 ", $(499), $231 , $4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161393,Yello - Self Perform,300385,Chicago Main,Project,2016,2016.DEC,,N,P,LS,001,,12 ,1," $1,275 "," $1,482 ", $425 , $107 ," $9,521 "," $4,453 "," $31,652 "," $2,694 ", $341 , $40 , $40 , $40 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161394,Wellesley College Science Center Precon,300201,Boston SPD,Project,2016,2016.DEC,,N,P,CG,005,,30 ,2," $5,148 "," $16,022 "," $6,929 "," $8,834 "," $22,779 "," $28,075 "," $22,290 "," $15,298 "," $19,713 "," $35,160 "," $25,214 "," $46,235 "," $130,381 "," $73,179 "," $62,459 "," $59,748 "," $35,351 "," $56,576 "," $34,266 "," $94,324 "," $222,632 "," $20,926 "," $14,432 "," $21,642 "," $(19,333)"," $12,133 ", $(356)," $5,953 "," $5,101 "," $1,887 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161395,Seyfarth Shaw Fitout 5th Floor,300201,Boston SPD,Project,2016,2016.DEC,,N,P,CG,001,,17 ,1," $3,695 "," $132,388 "," $263,069 "," $235,195 "," $61,546 "," $19,240 "," $4,067 ", $587 ," $1,449 "," $72,393 ", $290 ," $2,080 ", $3 , $57 , $71 , $1 , $(41), $(0), $0 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161396,Wells Fargo - ATM Upgrades (2017),300393,Denver SPD,Project,2016,2016.DEC,,N,P,LS,002,,17 ,1," $6,340 "," $10,278 "," $31,749 "," $58,761 "," $15,583 "," $10,645 "," $28,905 "," $14,155 "," $5,641 "," $142,244 "," $36,324 ", $81 , $229 , $721 , $4 , $700 , $65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161397,FBI BTC Drain,300332,Pittsburgh Main,Project,2016,2016.DEC,,N,P,LS,007,,18 ,1," $396,361 "," $53,112 "," $143,354 "," $170,974 "," $(158,661)"," $16,300 "," $16,415 "," $69,329 "," $111,239 "," $30,587 "," $4,724 "," $(41,875)"," $4,847 "," $(3,595)"," $(1,369)", $250 , $15 ," $1,405 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161399,Duke Substation Security - Project Owen,300353,Carolinas SPD,Project,2016,2016.DEC,,N,P,LS,001,,19 ,3, $600 ," $9,374 "," $27,106 "," $383,396 "," $193,831 "," $586,630 "," $340,401 "," $279,228 "," $284,862 "," $453,095 "," $41,781 "," $10,402 "," $1,799 "," $42,109 "," $1,200 "," $7,264 "," $3,198 "," $(5,339)"," $(4,859)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161401,Womens Care of Florida Baldwin Park Plan,323300,MED Main,Project,2016,2016.DEC,,N,P,CSL,008,,16 ,1," $7,595 ", $400 , $945 ," $8,678 "," $3,227 "," $3,955 "," $1,276 ", $672 ," $1,404 "," $3,582 ", $28 , $10 ," $3,525 "," $1,537 ", $33 , $13 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161402,Denver Zoo - Elephant Drinker Piping,300393,Denver SPD,Project,2016,2016.DEC,,N,P,LS,001,,4 ,1," $21,030 ", $940 , $428 , $(63), $0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161403,Grant's Plus,300375,Cleveland SPD,Project,2016,2016.DEC,,N,P,LS,001,,4 ,1," $6,805 ", $457 , $186 , $444 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161414,FIU - CP AHU-10 Replacement,300358,Miami SPD,Project,2016,2016.DEC,,N,P,CG,005,,9 ,1," $2,642 ", $111 ," $80,336 "," $20,753 "," $1,447 "," $1,140 ", $598 , $321 , $(230),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161417,Boston Consulting Group Preconstruction,300201,Boston SPD,Project,2016,2016.DEC,,N,P,CG,001,,21 ,1," $11,086 "," $19,569 "," $33,300 "," $46,064 "," $28,385 "," $31,061 "," $18,299 "," $5,293 "," $6,037 "," $9,532 "," $8,799 "," $8,831 "," $3,650 ", $271 , $56 , $(1), $(1)," $14,527 "," $(1,311)", $226 , $(22), $(2), $0 , $0 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161425,Pantex FFE,323300,MED Main,Project,2016,2016.DEC,,N,M,LS,001,,23 ,5," $6,416 "," $10,345 "," $8,862 "," $17,108 "," $37,073 "," $19,447 "," $20,992 "," $3,234,957 "," $4,961 "," $678,894 "," $1,021,820 "," $880,436 "," $53,145 "," $834,859 "," $194,433 "," $249,322 "," $72,045 ", $765 ," $48,134 "," $(44,495)"," $(313,788)"," $10,600 ", $975 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161426,Kraft Service Work '16-'19,300385,Chicago Main,Project,2016,2016.DEC,,N,P,LS,004,,22 ,1," $1,700 "," $8,025 "," $76,015 "," $5,330 "," $2,334 "," $1,598 ", $(11), $(0), $0 , $120 ," $11,517 "," $11,278 ", $291 ," $16,002 ", $(1)," $7,497 ", $(4), $0 ," $4,633 ", $(0)," $10,560 ", $114 , $(1)," $1,743 ", $19 ," $4,611 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161434,Roark - Misc changes,300352,Atlanta SPD,Project,2016,2016.DEC,,N,P,LS,001,,3 ,1," $4,580 "," $2,423 ", $89 , $(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140281,TN State Library and Archive - Precon,300365,Nashville Main,Project,2014,2014.FEB,,N,P,CG,010,,22 ,1," $12,857 "," $6,815 "," $2,036 "," $5,055 "," $14,738 "," $51,172 "," $15,722 "," $1,652 "," $20,144 "," $9,777 "," $7,227 "," $21,577 "," $4,028 "," $(19,524)"," $24,941 "," $(5,417)"," $(30,000)"," $30,000 "," $(7,872)"," $5,000 "," $2,872 "," $(8,336)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150021,Wamego Health Center Addition,300390,Kansas City Main,Project,2017,2017.JUN,,N,P,CG,008,,26 ,6," $167,908 "," $380,592 "," $699,187 "," $669,485 "," $974,783 "," $1,169,962 "," $1,019,112 "," $752,998 "," $514,897 "," $446,446 "," $330,651 "," $365,078 "," $383,577 "," $200,682 "," $123,870 "," $164,591 "," $30,253 "," $23,047 "," $6,783 ", $127 , $979 ," $1,316 ", $58 , $(20), $60 ," $46,943 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150032,Christ Fellowship Addition and Reno,300400,Dallas Main,Project,2017,2017.MAR,,N,P,LS,009,,32 ,6," $12,563 "," $418,626 "," $714,177 "," $809,749 "," $937,916 "," $1,202,201 "," $701,829 "," $490,949 "," $622,853 "," $395,017 "," $703,939 "," $804,468 "," $720,527 "," $368,847 "," $315,573 "," $136,750 "," $41,835 "," $19,684 "," $35,910 "," $3,746 "," $6,051 "," $2,083 ", $(1)," $1,939 "," $6,826 ", $995 ," $2,981 "," $(4,174)"," $1,265 "," $1,239 "," $3,000 "," $15,000 "," $1,672 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150458,Turner Self Perform - Qrtr 2 (2015) OCIP,300221,NY Interiors,Project,2015,2015.APR,,N,P,LS,001,,5 ,1," $62,481 ", $692 ," $3,866 "," $(67,039)"," $51,773 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150875,NY Aquarium Restoration,300220,NY Main,Project,2017,2017.AUG,,N,P,CP,013,,37 ,10," $4,689,781 "," $7,725,741 "," $6,792,366 "," $(603,182)"," $3,247,933 "," $6,848,653 "," $5,314,741 "," $6,487,199 "," $5,957,849 "," $4,787,112 "," $5,788,586 "," $6,667,441 "," $5,511,797 "," $5,754,792 "," $5,362,205 "," $7,269,040 "," $5,149,170 "," $4,115,475 "," $3,936,000 "," $4,640,897 "," $3,401,727 "," $2,311,830 "," $3,675,419 "," $2,662,804 "," $2,692,042 "," $2,412,496 "," $2,272,733 "," $1,661,242 "," $1,018,030 "," $1,276,678 "," $1,389,794 "," $1,604,414 "," $2,085,874 "," $1,343,829 "," $1,247,593 "," $1,330,851 "," $2,391,931 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151009,Super Tower,527201,Turner Consulting Thailand Ltd OpCo,Project,2015,2015.AUG,,N,P,M,001,,18 ,1," $40,577 "," $237,160 "," $42,131 "," $56,849 "," $133,068 "," $23,863 "," $61,111 "," $23,423 "," $58,957 "," $34,203 "," $70,276 "," $31,038 "," $24,582 "," $51,269 "," $30,915 "," $28,317 "," $2,184 ", $699 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151222,Denver Health Medical Examiner's Office,300392,Denver Main,Project,2016,2016.AUG,,N,P,CG,008,,29 ,7," $123,838 "," $49,976 "," $58,859 "," $169,721 "," $2,060,329 "," $1,272,250 "," $1,419,949 "," $1,949,298 "," $1,385,633 "," $1,403,281 "," $1,467,877 "," $196,585 "," $219,504 "," $55,237 "," $83,949 "," $40,948 "," $1,795 "," $(31,752)", $593 , $192 ," $2,273 "," $1,789 "," $(7,784)", $341 ," $1,300 ", $562 ," $5,153 "," $65,799 "," $7,269 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151419,SFO - Terminal 1 IBAB Self Perform,300450,Bay Area Main,Project,2015,2015.DEC,,N,P,CG,014,,7 ,2," $1,907,974 "," $11,694 ", $308 , $231 , $(76)," $1,142 ", $212 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151440,2016 Dallas Precon PR,300400,Dallas Main,Project,2015,2015.DEC,,N,P,CG,001,,0 ,1, $0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
